Question,Question_summ,image_path,category,context,description
"11YR old daughter diagnosed MRSA+ 13 days ago started having high fever 5 days ago which we keep down with Advil cause also feeling unwell and severe fatigue. Noticed bad breath and very  with white spots all over them.Please doctor see the current condition below . Tonight goes to bed with fever and a bit of Advil. Later got rwally bad cold sweats cold body temp 94,9 and was shaking so kuch had to wake her was scaring me! Had to change her to dry pjs. Back to bed with again cold sweats and low body temp. Snoring. What should I do pls.","What could be the cause of high fever, swollen tonsils with white spots, severe fatigue, and cold sweats with low body temperature in an 11-year-old girl recently diagnosed with MRSA?",swollen tonsils_Image_2.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"Hi, My 7 yr old son has very  and they're very red/raw looking. They also appear to have puss pockets on them.Please doctor see the current condition below .He has no fever and no other symptoms other than his voice sounding muffled when he talks. Other than that he feels perfectly fine. Do you think I should worry.","Should a parent worry about a 7-year-old with swollen, red tonsils with pus pockets and muffled voice but no fever?",swollen tonsils_Image_2.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"My 3 1/2 yo has red , high fever 103+ unmedicated (101 medicated), headache and light sensitivity. Went to pedi today, Flu A&B negative, strep rapid test negative, waiting on strep DNA test. The light sensitivity started after pedi visit, so wasn t considered at the visit.Please see the current condition below  My older daughter just finished a round of abx for strep a few days ago. We thought the strep test on little sis would be positive for sure. Also, 3 1/2yo is missing some vax due to a rxn at 15months. Is there anything else on the radar that we should consider testing for.","What other potential causes should be considered for red swollen tonsils, high fever, headache, light sensitivity, negative flu and strep tests?",swollen tonsils_Image_9.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"My 9 yr old daughter says she feels something in her neck and feels like she s choking if she tries to eat and I ve noticed her tonsils are very swollen, also she has too much saliva in her mouth and feels like spitting many times.Please doctor see the current condition below . Is this a normal sign of .","Does a 9-year-old with swollen tonsils, feeling something in the neck, difficulty swallowing, excessive saliva, and spitting need medical attention?",swollen tonsils_Image_2.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"My son is 13 and for the last 2 or 3 years constantly keeps getting the same illness over and over....sore throat and tonsils, achy legs, low grade fever and is always vomiting up mucus.  This happens every couple of months and he is often complaining of a sore throat and his tonsils seem to be quite swollen.Please doctor see the current condition below . He snores something fierce and breathes out his mouth when he sleeps.  We just went on vacation and no one could sleep as he was snoring so loud.  He had this infection when we were away two weeks ago and has woken up with it again this morning and has vomited up mucus 5 times today.  Should he see an ear, throat and nose specialist.  I have taken him to the doctor a few times without any results.","Summary: Should a 13-year-old boy with recurrent sore throat, swollen tonsils, achy legs, low grade fever, vomiting mucus, snoring, and mouth breathing see an ENT specialist?",swollen tonsils_Image_3.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"My older son was diagnosed with mono. I believe my younger son (almost 3 yo) now has it, although I haven t taken him to the doctor. (symptoms started 5 days ago). As of last night, he has started snoring loudly and seems to have a lot of difficulty breathing through his nose, especially when sleeping. At times he seems to stop breathing for a couple of seconds. Because of this, he s having great difficulty sleeping and is quite uncomfortable. I m assuming this is due to /adenoids.Please doctor see the current condition below . Since he sounded better during the day, I didn t take him to doctor, but during his nap he was having the same problems. Will he be okay throught he night or should I try to get him to see a doctor this evening. Thank you!",Is it necessary to take the younger son to the doctor tonight due to persistent difficulty breathing and snoring?,swollen tonsils_Image_44.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"Is it safe for 2 year olds.My two year old has a bacterial infection in his tonsils and one of the medication prescribed was zyncet in addition to antibiotics.Please doctor see the current condition below .  Is Zyncet safe for a two year old. Also, his gums have recently become swollen after three days of use. Could this be a side effect of the drug. Kindly advise",Is Zyncet safe for a two year old with bacterial tonsil infection? Could swollen gums be a side effect?,swollen tonsils_Image_7.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"7 year old has had , sore throat and cough for 5 weeks.Please doctor see the current condition below . Thought it was allergies. I ve been doing lots of breathing treatments, and vapor rub. Doesn t seem to be getting better. Having a bad coughing attack now and just coughed up green mucus","What could be causing a 7-year-old to have swollen tonsils, a sore throat, a persistent cough, and coughing up green mucus for 5 weeks?",swollen tonsils_Image_4.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
"Please doctor see the current condition below .My grandson (4) was admitted to hospital (9 hours ago), referred from our GP, as his uvula and tonsils were swollen, my Son in Law has just sent a text saying that they have decided to keep him in to do a CT scan, naturally my daughter is worried since she has immediately associated it with cancer...is a CT scan normal in this case.Thanks","Is a CT scan normal for a 4-year-old with swollen uvula and tonsils, as associated with cancer concerns?",swollen tonsils_Image_4.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
My 7 year old daughter was scratched on her lower lip by our dog. It did bleed for only a moment and was fine. The next day the lip looked normal with some swelling as to be expected with a simple cut on the lip. Now my daughter is hoarse and her tonsils are swollen. Could this be from the scratch. She does now have a canker sore on the inside of her mouth where the dog scratched. Its not large and I have used Chloryseptic on the sore and on her .Please doctor see the current condition below . She was scratched on Tuesday and today is Thursday when she woke up with the additional issues. Just not sure if I am over thinking this or not.,"Is hoarseness and swollen tonsils related to a dog scratch on the lip, leading to a canker sore?",swollen tonsils_Image_4.jpg,swollen tonsils,"[""Swollen tonsils, also known as tonsillitis, is a common condition, especially in children.  Here are some common symptoms:\n\n* **Swollen tonsils:**  This is the most obvious symptom, with the tonsils appearing larger than usual and often red and inflamed.\n* **Sore throat:**  A sore throat is a very common symptom, making it difficult or painful to swallow.\n* **Pain when swallowing:** Even swallowing saliva can be painful.\n* **White or yellow spots:**  These spots, known as tonsillitis exudate, can appear on the tonsils, suggesting a bacterial infection.\n* **Fever:** A fever is often present, particularly with a bacterial infection.\n* **Swollen lymph nodes:** The lymph nodes in the neck may also become swollen.\n* **Bad breath:**  Swollen tonsils can contribute to bad breath.\n* **Ear pain:**  Pain in the ears can occur, especially in children, due to the proximity of the ears to the tonsils.\n\n**Important Note:**  If you or your child experience swollen tonsils, it's important to see a doctor for a proper diagnosis and treatment.  Swollen tonsils can be caused by a viral or bacterial infection. While most cases resolve on their own, some may require antibiotics."", ""Diagnosing swollen tonsils, or tonsillitis, is typically based on a physical examination and your symptoms. Here's a brief overview of what might be involved:\n\n1. **Physical Examination:**\n    * A doctor will examine your throat, looking for swollen tonsils, redness, white or yellow spots, and any other signs of inflammation. They'll also check your lymph nodes in the neck for swelling.\n\n2. **Medical History:**\n    * The doctor will ask about your symptoms, including when they started, how severe they are, and any other relevant factors like recent exposure to sick individuals, allergies, or any new medications you've been taking.\n\n3. **Rapid Strep Test:**\n    * If a bacterial infection is suspected, a rapid strep test can be performed. This quick test can determine if you have a strep throat, which is caused by group A streptococcus bacteria.\n\n4. **Throat Culture:**\n    * If the rapid strep test is negative but a bacterial infection is still suspected, a throat culture may be done. This involves taking a swab of the throat and sending it to a lab for testing.\n\n**Important Note:**  Most cases of tonsillitis are caused by viruses and will resolve on their own. However, if a bacterial infection is diagnosed, antibiotics will be prescribed. It's important to see a doctor for proper diagnosis and treatment to ensure the right course of action is taken.""]","Swollen tonsils appear enlarged and inflamed in the back of the throat. An image may show them as red, bumpy, and possibly covered in white patches. The swelling can make it difficult to swallow or breathe. Swollen tonsils are often caused by infection, such as a viral or bacterial infection. 
 
 
 
"
